iter	Logloss
0	0.6904461276
1	0.6882807578
2	0.6859313965
3	0.6837684877
4	0.6813448014
5	0.6793571226
6	0.6766485399
7	0.6738002654
8	0.6713674238
9	0.6690545851
10	0.6665768531
11	0.6646497665
12	0.6628528718
13	0.6602053242
14	0.6584987025
15	0.6563456382
16	0.6543522004
17	0.6524096089
18	0.6507376394
19	0.6484331193
20	0.6465370424
21	0.6442718506
22	0.6428371306
23	0.6414089572
24	0.6398040771
25	0.6382660404
26	0.6361010644
27	0.6339684271
28	0.6321819182
29	0.6304883403
30	0.6283409857
31	0.6265699325
32	0.624921245
33	0.6232681767
34	0.6219804333
35	0.6208832772
36	0.6195230792
37	0.6175789126
38	0.6165425947
39	0.6149725145
40	0.6136378627
41	0.6123682822
42	0.6113346223
43	0.6101257324
44	0.6087240896
45	0.6076595183
46	0.6062693442
47	0.6053011987
48	0.6037419965
49	0.6026032479
50	0.6016605008
51	0.6008467151
52	0.6000319942
53	0.5989602366
54	0.5979456748
55	0.5968280423
56	0.5958683137
57	0.5948452365
58	0.5937002367
59	0.5927922403
60	0.5919706283
61	0.5909043835
62	0.5898715112
63	0.5891997307
64	0.5885416339
65	0.5873429821
66	0.5863393476
67	0.5853071643
68	0.5843959685
69	0.583800925
70	0.5826174336
71	0.5817453692
72	0.5807583717
73	0.5800278694
74	0.5791656002
75	0.5783378847
76	0.5772120322
77	0.5766192529
78	0.5760665401
79	0.575103366
80	0.5745525729
81	0.5739092427
82	0.5728105114
83	0.5723513696
84	0.5715493479
85	0.5705931633
86	0.5699714415
87	0.5692041705
88	0.5684865644
89	0.5678116337
90	0.5666698825
91	0.5656253938
92	0.5649586339
93	0.5642292638
94	0.5635741203
95	0.562639298
96	0.5621853736
97	0.56182123
98	0.561411753
99	0.5610805388
100	0.560723877
101	0.5603545158
102	0.559545357
103	0.5592106481
104	0.5588406471
105	0.5584373228
106	0.5581097018
107	0.5571463308
108	0.5562272103
109	0.5555821573
110	0.5548674553
111	0.5537811279
112	0.5530762703
113	0.5521127516
114	0.5514082386
115	0.5507280903
116	0.549807247
117	0.5492867747
118	0.5488921135
119	0.5486653974
120	0.5479588662
121	0.5477405179
122	0.5474086638
123	0.5471472463
124	0.5465940906
125	0.5462843372
126	0.5456293906
127	0.5453580795
128	0.5447037235
129	0.5439914826
130	0.5433205389
131	0.5431325605
132	0.5426942887
133	0.5420507616
134	0.5413694812
135	0.5411389751
136	0.540511199
137	0.540230831
138	0.5400441816
139	0.5396728516
140	0.539353303
141	0.5390729843
142	0.5382860737
143	0.5376779864
144	0.5375289425
145	0.5373818674
146	0.5369585591
147	0.5364910495
148	0.5357331307
149	0.5351241573
150	0.5345943328
151	0.5337630733
152	0.5334258049
153	0.533299846
154	0.5327871999
155	0.5326134959
156	0.531990002
157	0.5318733461
158	0.5313845727
159	0.5307845577
160	0.530445468
161	0.5302261845
162	0.5297425301
163	0.5292563654
164	0.5290986092
165	0.5285557901
166	0.52845774
167	0.5278945923
168	0.5276238718
169	0.5273557601
170	0.5266082764
171	0.526487978
172	0.5263589182
173	0.5262644122
174	0.5256735033
175	0.5253072431
176	0.5250756541
177	0.5249776533
178	0.5248958465
179	0.5243655297
180	0.523856083
181	0.5235521378
182	0.5234735797
183	0.5233031242
184	0.5228372881
185	0.5224092053
186	0.522316422
187	0.5221584197
188	0.5218888314
189	0.5214353992
190	0.5208872149
191	0.5203117124
192	0.5199978736
193	0.5196617865
194	0.5195860832
195	0.5191839403
196	0.5187634868
197	0.5183820663
198	0.5179886849
199	0.5175516928
200	0.5174767771
201	0.5170676939
202	0.5167880643
203	0.5165606099
204	0.5163833618
205	0.5159783148
206	0.5157295473
207	0.5156701857
208	0.5150086434
209	0.5145838584
210	0.5142785841
211	0.5137571273
212	0.513215145
213	0.5131172426
214	0.5127874559
215	0.5125134868
216	0.5122054561
217	0.5119641704
218	0.5119068761
219	0.5116011097
220	0.5112121582
221	0.5111769153
222	0.510848113
223	0.510609879
224	0.5103341379
225	0.5099443497
226	0.5099121094
227	0.5095974338
228	0.5095382198
229	0.5091445923
230	0.5091168804
231	0.5090911865
232	0.5087354599
233	0.5084012924
234	0.5080581173
235	0.5077429987
236	0.5077169111
237	0.5073543426
238	0.5069408786
239	0.5065774241
240	0.5065552742
241	0.5061836489
242	0.5061440745
243	0.5055578416
244	0.5050462784
245	0.50487095
246	0.5045835926
247	0.5040109942
248	0.5038322203
249	0.5035087339
250	0.5031377485
251	0.5029261927
252	0.5028984808
253	0.5028014152
254	0.5024931877
255	0.5022854713
256	0.5018712198
257	0.5018420804
258	0.5018270185
259	0.5016279651
260	0.5016114266
261	0.5013328306
262	0.5011575022
263	0.5011265909
264	0.5008590206
265	0.5005346483
266	0.5002945439
267	0.5000771799
268	0.4995748212
269	0.4994690926
270	0.4993965887
271	0.4993371287
272	0.4990729055
273	0.4988967896
274	0.4986410326
275	0.4982700963
276	0.4979868243
277	0.49796812
278	0.4976283904
279	0.4974108296
280	0.4970748901
281	0.4968471404
282	0.4968298143
283	0.4965426537
284	0.4963290307
285	0.4961295343
286	0.4958690028
287	0.4955676663
288	0.4953985399
289	0.4953100881
290	0.4950282927
