iter	Logloss
0	0.6905963295
1	0.6882522315
2	0.6860919082
3	0.6829668681
4	0.6801514877
5	0.6776987712
6	0.6751676861
7	0.6725835298
8	0.6702111897
9	0.6682043912
10	0.6660248606
11	0.6634263156
12	0.6615453352
13	0.6590623688
14	0.6571910925
15	0.6548504077
16	0.652984753
17	0.6506243254
18	0.6483340347
19	0.6462235032
20	0.6442343729
21	0.6421295969
22	0.6398438571
23	0.6380996704
24	0.6369469626
25	0.6338224578
26	0.6317484002
27	0.6297365155
28	0.6277472513
29	0.6262439929
30	0.6247982895
31	0.6230175621
32	0.6214434975
33	0.619404843
34	0.6173432333
35	0.6155175995
36	0.6139044511
37	0.6127189502
38	0.6103725099
39	0.6088271559
40	0.6070382637
41	0.6055989851
42	0.6039921945
43	0.6021616082
44	0.5997333192
45	0.5979282312
46	0.5959118626
47	0.5943499113
48	0.5925171166
49	0.5906430964
50	0.589139838
51	0.5879044114
52	0.5859469364
53	0.5847731473
54	0.5831044515
55	0.5812998989
56	0.5789544624
57	0.576866953
58	0.5749348423
59	0.5732229132
60	0.571691145
61	0.5703066776
62	0.5686830219
63	0.567217442
64	0.5656904254
65	0.5641377767
66	0.5627245987
67	0.5606475629
68	0.5587379389
69	0.5576582122
70	0.5559291505
71	0.5545256765
72	0.5533319774
73	0.5512723421
74	0.5498974114
75	0.548364907
76	0.5470397347
77	0.5452985262
78	0.5436815965
79	0.542262596
80	0.5410858957
81	0.54031526
82	0.5389937351
83	0.5378865694
84	0.5364988561
85	0.5351503272
86	0.5341994637
87	0.5323665017
88	0.5311416158
89	0.5295900044
90	0.5286422194
91	0.5274295472
92	0.526067968
93	0.5243562397
94	0.5228412695
95	0.5214413425
96	0.5204934237
97	0.5190172697
98	0.5179640117
99	0.5167259752
100	0.5152332239
101	0.5137607173
102	0.5127766927
103	0.5119236059
104	0.5108561934
105	0.509982862
106	0.5091587535
107	0.5082551387
108	0.5067848072
109	0.5050647803
110	0.5040467915
111	0.5028989691
112	0.501833464
113	0.5006839016
114	0.4996585511
115	0.4985809661
116	0.4970395272
117	0.4960048073
118	0.4952275795
119	0.494270994
120	0.4934036523
121	0.4922536883
122	0.4911194852
123	0.4898604343
124	0.4887943602
125	0.4876779255
126	0.4869406181
127	0.4857652898
128	0.4848283467
129	0.4835233856
130	0.4824296382
131	0.4812247293
132	0.4800505722
133	0.4792292411
134	0.4783199712
135	0.4770813658
136	0.4761819003
137	0.4751030771
138	0.474223756
139	0.473018412
140	0.4727875559
141	0.4713258576
142	0.4705461201
143	0.469415397
144	0.4682161432
145	0.4672237195
146	0.4661024328
147	0.4653066669
148	0.4641104581
149	0.4635338365
150	0.4628417032
151	0.461882173
152	0.4607938131
153	0.4598715933
154	0.4589966891
155	0.4582579094
156	0.4570287738
157	0.4562986608
158	0.4554592601
159	0.4541142782
160	0.4528299633
161	0.4520030105
162	0.451408587
163	0.4503804926
164	0.4491777253
165	0.4482979691
166	0.4476215296
167	0.4464512541
168	0.4457931853
169	0.4451181512
170	0.4443951657
