iter	Passed	Remaining
0	4	4340
1	6	3229
2	8	2845
3	10	2648
4	12	2537
5	14	2440
6	17	2528
7	20	2508
8	22	2493
9	24	2474
10	26	2426
11	29	2393
12	31	2366
13	34	2419
14	36	2400
15	38	2369
16	40	2341
17	42	2317
18	44	2295
19	46	2275
20	48	2260
21	51	2269
22	52	2241
23	54	2229
24	56	2218
25	58	2207
26	60	2193
27	64	2241
28	67	2246
29	69	2234
30	71	2220
31	72	2207
32	74	2195
33	76	2182
34	78	2175
35	83	2244
36	86	2248
37	89	2256
38	91	2253
39	93	2240
40	96	2256
41	98	2248
42	101	2267
43	104	2263
44	106	2254
45	108	2243
46	111	2254
47	113	2252
48	115	2248
49	118	2247
50	121	2256
51	123	2243
52	125	2233
53	128	2257
54	131	2253
55	133	2244
56	135	2234
57	136	2224
58	138	2214
59	141	2212
60	144	2220
61	146	2212
62	148	2205
63	150	2196
64	152	2188
65	154	2179
66	155	2171
67	159	2190
68	161	2182
69	163	2175
70	165	2168
71	167	2159
72	169	2152
73	171	2145
74	174	2152
75	177	2153
76	179	2146
77	180	2138
78	182	2131
79	184	2125
80	186	2118
81	189	2121
82	192	2121
83	193	2114
84	195	2108
85	197	2102
86	199	2095
87	201	2088
88	203	2082
89	207	2095
90	209	2090
91	211	2084
92	213	2078
93	215	2073
94	217	2067
95	218	2062
96	222	2068
97	224	2064
98	227	2068
99	230	2074
100	232	2069
101	234	2064
102	237	2069
103	240	2068
104	242	2063
105	243	2057
106	245	2052
107	247	2046
108	249	2040
109	251	2037
110	254	2039
111	256	2033
112	258	2028
113	260	2023
114	262	2018
115	264	2013
116	266	2009
117	268	2009
118	271	2012
119	273	2007
120	275	2002
121	277	1997
122	279	1991
123	281	1987
124	284	1988
125	286	1989
126	288	1984
127	290	1980
128	292	1973
129	294	1968
130	296	1964
131	298	1963
132	301	1967
133	303	1963
134	305	1959
135	307	1954
136	309	1950
137	311	1945
138	313	1941
139	316	1944
140	319	1945
141	321	1942
142	323	1938
143	325	1933
144	327	1929
145	329	1925
146	332	1928
147	334	1927
148	337	1926
149	339	1923
150	341	1918
151	343	1914
152	345	1910
153	348	1914
154	350	1910
155	352	1906
156	354	1903
157	356	1899
158	358	1895
159	360	1892
160	363	1894
161	366	1897
162	368	1894
163	370	1890
164	372	1885
165	374	1882
166	376	1879
167	379	1880
168	381	1877
169	383	1873
170	385	1869
171	387	1865
172	389	1861
173	391	1858
174	393	1855
175	396	1855
176	398	1852
177	400	1849
178	402	1846
179	404	1842
180	406	1839
181	408	1836
182	411	1836
183	413	1833
184	415	1831
185	417	1828
186	419	1824
187	421	1821
188	423	1817
189	426	1818
190	429	1817
191	430	1813
192	433	1811
193	435	1807
194	436	1804
195	439	1801
196	441	1798
197	443	1797
198	445	1794
199	447	1790
200	449	1787
201	451	1783
202	453	1781
203	455	1778
204	458	1778
205	460	1776
206	462	1772
207	464	1768
208	466	1765
209	468	1762
210	470	1758
211	472	1757
212	475	1757
213	477	1754
214	479	1751
215	481	1747
216	483	1744
217	485	1741
218	487	1738
219	491	1741
220	493	1738
221	495	1735
222	497	1732
223	499	1728
224	500	1725
225	503	1722
226	506	1723
227	509	1723
228	511	1720
229	513	1717
230	515	1714
231	516	1711
232	519	1709
233	522	1710
234	524	1707
235	526	1704
236	528	1700
237	530	1697
238	532	1694
239	534	1691
240	537	1691
241	539	1690
242	542	1688
243	544	1685
244	546	1683
245	548	1680
246	550	1677
247	553	1677
248	555	1675
249	557	1672
250	559	1669
251	562	1669
252	564	1667
253	567	1667
254	570	1665
255	572	1664
256	574	1661
257	576	1658
258	578	1655
259	580	1652
260	583	1650
261	585	1648
262	587	1645
263	588	1641
264	590	1638
265	592	1635
266	594	1632
267	596	1629
268	599	1629
269	602	1628
270	604	1625
271	606	1622
272	608	1619
273	610	1616
274	612	1613
275	616	1616
276	618	1613
277	620	1610
278	622	1607
279	624	1604
280	625	1601
281	627	1598
282	630	1597
283	632	1595
284	634	1593
285	637	1591
286	639	1588
287	641	1585
288	643	1582
289	645	1581
290	649	1582
291	651	1579
292	653	1576
293	655	1573
294	657	1571
295	660	1570
296	663	1570
297	665	1567
298	667	1564
299	669	1561
300	671	1558
301	673	1555
302	675	1553
303	679	1554
304	681	1552
305	683	1549
306	685	1546
307	687	1544
308	689	1541
309	691	1538
310	694	1539
311	697	1537
312	699	1534
313	701	1532
314	703	1529
315	705	1526
316	707	1523
317	710	1524
318	712	1521
319	714	1519
320	716	1516
321	718	1513
322	720	1510
323	722	1507
324	725	1507
325	727	1504
326	730	1503
327	732	1500
328	734	1497
329	736	1494
330	738	1492
331	741	1492
332	743	1489
333	745	1487
334	747	1484
335	749	1481
336	751	1478
337	753	1476
338	755	1473
339	758	1472
340	760	1469
341	762	1466
342	763	1463
343	765	1460
344	767	1457
345	769	1455
346	772	1453
347	774	1451
348	776	1448
349	778	1445
350	780	1443
351	782	1440
352	784	1437
353	786	1435
354	790	1435
355	792	1433
356	794	1431
357	796	1428
358	798	1425
359	800	1423
360	803	1421
361	806	1420
362	807	1417
363	809	1415
364	811	1412
365	813	1409
366	816	1407
367	818	1406
368	821	1404
369	823	1402
370	825	1400
371	827	1397
372	829	1395
373	832	1392
374	834	1391
375	837	1389
376	839	1386
377	841	1384
378	843	1382
379	845	1379
380	847	1377
381	851	1377
382	854	1375
383	856	1373
384	858	1370
385	860	1367
386	861	1365
387	863	1362
388	867	1362
389	869	1360
390	871	1357
391	873	1354
392	875	1352
393	877	1349
394	879	1346
395	882	1345
396	884	1344
397	886	1341
398	888	1338
399	890	1335
400	892	1333
401	894	1330
402	896	1328
403	899	1327
404	901	1324
405	903	1322
406	905	1319
407	907	1316
408	909	1314
409	911	1311
410	914	1310
411	916	1308
412	918	1305
413	920	1303
414	922	1300
415	924	1297
416	926	1295
417	929	1294
418	932	1292
419	934	1290
420	937	1289
421	939	1287
422	941	1284
423	944	1282
424	947	1281
425	949	1278
426	950	1276
427	952	1273
428	955	1271
429	958	1270
430	960	1268
431	963	1266
432	965	1264
433	967	1261
434	969	1259
435	971	1257
436	973	1254
437	976	1252
438	979	1251
439	980	1248
440	982	1246
441	985	1243
442	987	1241
443	989	1238
444	990	1235
445	993	1234
446	996	1232
447	998	1230
448	1000	1227
449	1002	1225
450	1004	1222
451	1006	1220
452	1009	1218
453	1011	1216
454	1013	1213
455	1014	1210
456	1017	1208
457	1018	1205
458	1020	1203
459	1026	1204
460	1028	1202
461	1030	1199
462	1032	1197
463	1034	1194
464	1036	1192
465	1038	1190
466	1041	1188
467	1044	1186
468	1047	1185
469	1049	1183
470	1051	1181
471	1054	1180
472	1057	1178
473	1059	1176
474	1061	1173
475	1063	1170
476	1065	1168
477	1067	1166
478	1070	1164
479	1073	1162
480	1076	1161
481	1079	1159
482	1081	1157
483	1083	1155
484	1087	1154
485	1089	1152
486	1091	1150
487	1094	1147
488	1096	1145
489	1098	1143
490	1101	1141
491	1103	1139
492	1105	1137
493	1107	1134
494	1109	1131
495	1111	1129
496	1113	1127
497	1116	1125
498	1119	1123
499	1121	1121
500	1123	1119
501	1125	1116
502	1127	1113
503	1129	1111
504	1131	1108
505	1134	1107
506	1136	1105
507	1138	1102
508	1140	1099
509	1142	1097
510	1144	1094
511	1146	1092
512	1149	1091
513	1152	1089
514	1154	1087
515	1157	1085
516	1159	1082
517	1161	1080
518	1164	1079
519	1167	1077
520	1169	1075
521	1185	1085
522	1207	1101
523	1213	1102
524	1217	1101
525	1224	1103
526	1227	1101
527	1230	1100
528	1235	1100
529	1254	1112
530	1257	1110
531	1259	1107
532	1261	1105
533	1264	1103
534	1266	1100
535	1276	1104
536	1279	1103
537	1284	1102
538	1288	1102
539	1290	1099
540	1292	1096
541	1294	1093
542	1296	1090
543	1298	1088
544	1302	1087
545	1304	1084
546	1306	1081
547	1308	1079
548	1310	1076
549	1312	1073
550	1315	1071
551	1317	1069
552	1320	1067
553	1322	1064
554	1324	1061
555	1326	1059
556	1328	1056
557	1333	1056
558	1335	1053
559	1337	1051
560	1339	1048
561	1342	1046
562	1344	1043
563	1347	1041
564	1350	1039
565	1352	1037
566	1356	1035
567	1358	1032
568	1360	1030
569	1362	1028
570	1365	1026
571	1367	1023
572	1369	1020
573	1372	1018
574	1373	1015
575	1376	1013
576	1379	1011
577	1381	1008
578	1383	1006
579	1385	1003
580	1387	1000
581	1390	998
582	1392	995
583	1396	994
584	1398	992
585	1401	989
586	1403	987
587	1405	984
588	1407	982
589	1411	980
590	1413	978
591	1415	975
592	1418	973
593	1420	970
594	1422	968
595	1425	966
596	1427	963
597	1429	960
598	1431	958
599	1433	955
600	1435	953
601	1437	950
602	1440	948
603	1443	946
604	1445	943
605	1448	941
606	1450	938
607	1452	936
608	1454	933
609	1457	932
610	1460	929
611	1462	927
612	1464	924
613	1466	921
614	1468	919
615	1470	916
616	1472	914
617	1475	911
618	1476	909
619	1478	906
620	1480	903
621	1482	901
622	1485	898
623	1489	897
624	1492	895
625	1494	892
626	1496	890
627	1498	887
628	1500	884
