Model,Seed,Accuracy,Balanced_Accuracy,F1_Macro,Sensitivity,MCC,ROC_AUC
Gradient Boosting,66,0.7302631578947368,0.5550766283524904,0.5573549257759784,0.2222222222222222,0.1357163876303277,0.537595785440613
AdaBoost,66,0.7302631578947368,0.5742337164750958,0.5795722863118127,0.2777777777777778,0.17027056600295468,0.5438218390804598
HistGradientBoosting,66,0.6644736842105263,0.5311302681992337,0.5314030103366983,0.2777777777777778,0.06287328470870139,0.4889846743295019
K-Nearest Neighbors,66,0.6052631578947368,0.49233716475095785,0.49107142857142855,0.2777777777777778,-0.01436684852967191,0.5590277777777777
Logistic Regression,20,0.5921052631578947,0.5411877394636015,0.5225937183383992,0.4444444444444444,0.0720941912001088,0.5888409961685823
SVM (Linear),20,0.5789473684210527,0.5421455938697317,0.5181295819298594,0.4722222222222222,0.07291977484532604,0.5828544061302683
SVM (RBF),20,0.6776315789473685,0.5397509578544062,0.5406722170829479,0.2777777777777778,0.08198367612728423,0.5828544061302682
MLP (Basic),20,0.5855263157894737,0.51772030651341,0.5059588299024919,0.3888888888888889,0.0313555381223291,0.5423850574712644
MLP (Deep),20,0.5328947368421053,0.47365900383141757,0.4625230340156382,0.3611111111111111,-0.045693752200094334,0.5038314176245211
MLP (Very Deep),20,0.631578947368421,0.5287356321839081,0.525,0.3333333333333333,0.053875681986269665,0.5629789272030652
XGBoost,20,0.6842105263157895,0.4961685823754789,0.48864592094196807,0.1388888888888889,-0.009259482532652649,0.5727969348659003
Random Forest,20,0.6710526315789473,0.5067049808429119,0.5052083333333333,0.19444444444444445,0.014706791105134408,0.5720785440613027
Gradient Boosting,20,0.6973684210526315,0.4952107279693486,0.48207407407407404,0.1111111111111111,-0.012603497935914788,0.5699233716475096
AdaBoost,20,0.6973684210526315,0.5047892720306514,0.49654377880184336,0.1388888888888889,0.012046968725545984,0.6011733716475096
HistGradientBoosting,20,0.6118421052631579,0.4487547892720306,0.446931853222325,0.1388888888888889,-0.10568979934481221,0.5270593869731801
K-Nearest Neighbors,20,0.6578947368421053,0.5459770114942528,0.5438596491228069,0.3333333333333333,0.08877935232369505,0.5925526819923371
