Model,Seed,Accuracy,Balanced_Accuracy,F1_Macro,Sensitivity,MCC,ROC_AUC
MLP (Very Deep),66,0.6710526315789473,0.49712643678160917,0.4934684084244202,0.16666666666666666,-0.00648872024203174,0.5824952107279694
XGBoost,66,0.7368421052631579,0.4827586206896552,0.42424242424242425,0.0,-0.09158437663089954,0.5872844827586208
Random Forest,66,0.6842105263157895,0.5440613026819923,0.5453639082751744,0.2777777777777778,0.09189713278469863,0.5914750957854407
Gradient Boosting,66,0.7368421052631579,0.4827586206896552,0.42424242424242425,0.0,-0.09158437663089954,0.5846503831417625
AdaBoost,66,0.7631578947368421,0.5,0.43283582089552236,0.0,0.0,0.5201149425287357
HistGradientBoosting,66,0.7171052631578947,0.5081417624521073,0.4934511353948694,0.1111111111111111,0.023212544782364553,0.6045258620689655
K-Nearest Neighbors,66,0.6973684210526315,0.5622605363984674,0.5643070787637089,0.3055555555555556,0.12985464415229153,0.547294061302682
Logistic Regression,20,0.7171052631578947,0.4698275862068966,0.41762452107279696,0.0,-0.12240165068481963,0.5105363984674329
SVM (Linear),20,0.5921052631578947,0.5124521072796935,0.5042087542087542,0.3611111111111111,0.02231780211373287,0.5093390804597702
SVM (RBF),20,0.5197368421052632,0.47461685823754785,0.458810905721114,0.3888888888888889,-0.0436253888782643,0.5057471264367815
MLP (Basic),20,0.6842105263157895,0.48659003831417624,0.4746543778801843,0.1111111111111111,-0.033731512431528755,0.5062260536398467
MLP (Deep),20,0.5328947368421053,0.40660919540229884,0.4116556724636101,0.16666666666666666,-0.17181883862801542,0.4808429118773946
MLP (Very Deep),20,0.5592105263157895,0.4525862068965517,0.4529143164114961,0.25,-0.086257782375821,0.4940134099616858
XGBoost,20,0.7631578947368421,0.5,0.43283582089552236,0.0,0.0,0.5921934865900383
Random Forest,20,0.6381578947368421,0.4564176245210728,0.4493841796746361,0.1111111111111111,-0.09695813430037768,0.46144636015325674
Gradient Boosting,20,0.7631578947368421,0.5,0.43283582089552236,0.0,0.0,0.6048850574712643
AdaBoost,20,0.7631578947368421,0.5,0.43283582089552236,0.0,0.0,0.557830459770115
HistGradientBoosting,20,0.7039473684210527,0.47078544061302685,0.4337279576123851,0.027777777777777776,-0.09587462591742005,0.4959291187739464
K-Nearest Neighbors,20,0.631578947368421,0.5,0.49988249118683903,0.25,0.0,0.5022749042145593
